Day,Time,Show,Episode Title,Status,Matched File ID,Match Score
Saturday July 4,12:55 AM,The apartment department,Season 1 Episode 1 Welcome to the Apartment Department,MATCHED,2370802,70
Saturday July 4,1:20 AM,The NAA Apartmentcast,Season 3 Episode 3 The NAA Apartmentcast - Lessons From a Career in,MATCHED,7889222,74
Saturday July 4,1:55 AM,Multifamily Matters,152 Women in Leadership Positions in Multifamily Real Estate,MATCHED,2350670,94
Saturday July 4,2:50 AM,ChangeMakers with Katie Goar,"96 Part:two Aaron Darden, President & CEO, Tulsa Housing",NEEDS UPLOAD,,67
Saturday July 4,3:25 AM,The Lease-Up - MHN Mission Success,Mission Success: Preserving a Strong Company Culture in the Age of Hybrid Work,MATCHED,2444186,71
Saturday July 4,3:50 AM,The apartment department,Season 1 Episode 8 Branding & Resident Retention: Resetting Our Standards,NEEDS UPLOAD,,69
Saturday July 4,4:50 AM,The NAA Apartmentcast,Season 3 Episode 1 The NAA Apartmentcast - Behind the High Cost of Rent,MATCHED,7889220,100
Saturday July 4,5:25 AM,Multifamily Matters,271 Here’s What I’m Hearing About Multifamily,MATCHED,2350861,92
Saturday July 4,6:20 AM,ChangeMakers with Katie Goar,"11 Part:two Stacy Spann, Executive Director, Housing Opportunities Commission of Montgomery County",NEEDS UPLOAD,,54
Saturday July 4,6:40 AM,The Lease-Up - MHN Mission Success,Mission Success: The Barrier for Women in Proptech Isn't Capability—It's Access,NEEDS UPLOAD,,55
Saturday July 4,7:00 AM,The apartment department,Season 2 Episode 9 Supporting a Prospect First Experience with Technology,MATCHED,2370829,72
Saturday July 4,7:40 AM,The NAA Apartmentcast,Season 2 Episode 16 The NAA Apartmentcast - A Q3 Conversation with NAAEI President Kim Hurd,MATCHED,7889218,100
Saturday July 4,8:20 AM,Multifamily Matters,115 Performing Multifamily Maintenance During COVID-19,MATCHED,2350766,100
Saturday July 4,9:15 AM,ChangeMakers with Katie Goar,"102 Part:two Carol Jones-Gilbert, Chief Executive Officer, Palm Beach County Housing Authority",MATCHED,2444340,78
Saturday July 4,9:35 AM,The Lease-Up - MHN Mission Success,Women in Multifamily Construction: Building a Career,MATCHED,2444243,100
Saturday July 4,9:55 AM,Multifamily - From The Ground Up,Episode - 005 The Affordable Housing Crisis: Beyond Politics and Toward Solutions,NEEDS UPLOAD,,61
Saturday July 4,10:35 AM,The apartment department,Season 2 Episode 6 Are you Ready for the Future? Video Marketing 101,NEEDS UPLOAD,,68
Saturday July 4,11:20 AM,The NAA Apartmentcast,Season 2 Episode 11 The NAA Apartmentcast - Let's Talk Rental Housing Maintenance,MATCHED,7889035,100
Saturday July 4,12:15 PM,Multifamily Matters,8 Apartment Ratings and How They Affect Your Online Reputation,MATCHED,2350611,94
Saturday July 4,1:10 PM,ChangeMakers with Katie Goar,"118 Paige Lohoefer, Founder of The Birthday Party Project",NEEDS UPLOAD,,68
Saturday July 4,1:50 PM,The Lease-Up - MHN Top Marketers,Top Marketers: Where Sports and Hospitality Shape Multifamily,MATCHED,2444236,100
Saturday July 4,2:20 PM,The apartment department,Season 2 Episode 7 Why Can't We All Just Get Along? The Argument for Unified Multifamily Marketing,MATCHED,2370827,78
Saturday July 4,3:30 PM,The NAA Apartmentcast,Season 1 Episode 4 The NAA Apartmentcast - Episode 4,MATCHED,7889008,100
Saturday July 4,4:00 PM,Multifamily - From The Ground Up,Episode - 002 Building Through the Cycle: Smart Multifamily Development in Today’s Market,NEEDS UPLOAD,,59
Saturday July 4,4:40 PM,Multifamily Matters,175 The Impact of Human Trafficking in Multifamily,MATCHED,2350185,100
Saturday July 4,5:35 PM,ChangeMakers with Katie Goar,"71 Part:two Capri Roth, Executive VP of Real Estate Development, East Bay Asian Local Development Corporation",MATCHED,2444272,81
Saturday July 4,5:55 PM,The Lease-Up - MHN Student Housing Unlocked,Student Housing Unlocked: The Equation Behind Success in a Localized Sector,MATCHED,2444213,100
Saturday July 4,6:25 PM,The apartment department,Season 1 Episode 3 Time is Money: Reducing Average Days Vacant for Increased Revenue,MATCHED,2370804,81
Saturday July 4,7:00 PM,Multifamily - From The Ground Up,Episode - 003 Staying Disciplined Through Uncertainty,NEEDS UPLOAD,,46
Saturday July 4,7:40 PM,The NAA Apartmentcast,Season 1 Episode 9 The NAA Apartmentcast - Apartment Career Journeys - Katie Wrenn,MATCHED,7889013,85
Saturday July 4,8:20 PM,Multifamily Matters,147 Keys to Stabilizing Underperforming Multifamily Assets During a Pandemic,MATCHED,2350175,95
Saturday July 4,9:15 PM,ChangeMakers with Katie Goar,"11 Part:one Stacy Spann, Executive Director, Housing Opportunities Commission of Montgomery County",NEEDS UPLOAD,,54
Saturday July 4,9:30 PM,The Lease-Up - MHN Quarterly with NMHC,Quarterly with NMHC: New Supply Has Hit. Now What?,MATCHED,2444209,100
Saturday July 4,9:50 PM,The apartment department,Season 3 Episode 2 Automating the Routine to Elevate the Human Experience: AI Success with Arthur Kosmider and Brent Camp,NEEDS UPLOAD,,58
Saturday July 4,10:25 PM,The NAA Apartmentcast,Season 2 Episode 8 The NAA Apartmentcast - A Q2 Conversation with NAAEI President Kim Hurd,MATCHED,7889218,99
Saturday July 4,10:50 PM,Multifamily Matters,371 Stopping Fraud With a Multilayered Approach,MATCHED,2350551,92
Saturday July 4,11:45 PM,ChangeMakers with Katie Goar,"35 Part:one Margaret Salazar, Executive Director, Oregon Housing & Community Service",NEEDS UPLOAD,,53
Sunday July 5,12:10 AM,The Lease-Up - MHN Top Marketers,Top Marketers: A Design Firm’s Necessities,MATCHED,2468398,100
Sunday July 5,12:35 AM,The apartment department,Season 2 Episode 2 Inside the Mind of an Operator: Stacey Hampton on Solving Occupancy Challenges and Selling Marketing,MATCHED,2370822,86
Sunday July 5,1:25 AM,The NAA Apartmentcast,"Season 3 Episode 15 The NAA Apartmentcast - Affordable Housing: Small Owners, Big Impact",MATCHED,7889235,100
Sunday July 5,2:20 AM,Multifamily Matters,38 Selling Your Product in a Competitive Market – Tips for Your Sales Team,MATCHED,2350629,95
Sunday July 5,3:15 AM,ChangeMakers with Katie Goar,"65 Part:two Patricia Wells, Executive Director, Oakland Housing Authority",MATCHED,2444260,74
Sunday July 5,3:40 AM,The Lease-Up - MHN Management Diaries,Management Diaries: How the Right Upgrades Elevate the Resident Experience and ROI,MATCHED,2444170,100
Sunday July 5,4:10 AM,The apartment department,"Season 1 Episode 13 The Blueprint Edition: AI, The Property Brothers, Data, Role Specialization, & Everything In-Between",MATCHED,2370815,86
Sunday July 5,5:15 AM,The NAA Apartmentcast,Season 3 Episode 9 The NAA Apartmentcast Sponsor Series - Yardi - AI for Everyone: Making Smart Tech Accessible to Small & Mid-Sized Operators,MATCHED,7889228,100
Sunday July 5,5:50 AM,Multifamily Matters,303 25 Years of Multifamily Revenue Management Insights to Shape Future,MATCHED,2350701,95
Sunday July 5,6:45 AM,ChangeMakers with Katie Goar,"106 Part:one Ailrick D. Young, Sr., Executive Director, City of Laurel Housing Authority",MATCHED,2444347,76
Sunday July 5,7:10 AM,The Lease-Up - MHN Top Marketers,Top 5 Multifamily Marketing Trends,MATCHED,2444217,100
Sunday July 5,7:30 AM,The apartment department,Season 2 Episode 18 The Future is Automated: Transforming Multifamily Operations with Minna Song,NEEDS UPLOAD,,60
Sunday July 5,8:15 AM,The NAA Apartmentcast,Season 2 Episode 13 The NAA Apartmentcast - Spotlight on Independent Rental Owners,MATCHED,7889131,100
Sunday July 5,9:20 AM,Multifamily - From The Ground Up,Episode - 001 From Blueprint to Building – The Future of Multifamily Development,NEEDS UPLOAD,,59
Sunday July 5,10:00 AM,Multifamily Matters,72 Everything You Wanted to Know About Leasing – But Were Afraid to Ask,NEEDS UPLOAD,,61
Sunday July 5,10:55 AM,ChangeMakers with Katie Goar,"67 Part:two Sunny Shaw, Executive Director, Twin Falls & Jerome Housing Authorities",MATCHED,2444264,76
Sunday July 5,11:20 AM,The Lease-Up - MHN Mission Success,Meet The NRP Group’s First Female Principals,NEEDS UPLOAD,,49
Sunday July 5,11:55 AM,The apartment department,Season 1 Episode 17 Geo-fencing: A Marketer’s Best-Kept Secret,NEEDS UPLOAD,,61
Sunday July 5,12:40 PM,The NAA Apartmentcast,Season 2 Episode 4 The NAA Apartmentcast - It's RPM Careers Week!,MATCHED,7889017,100
Sunday July 5,1:30 PM,Multifamily - From The Ground Up,Episode - 004 Why Affordable Housing Deals Are Dying,MATCHED,2444151,75
Sunday July 5,2:10 PM,Multifamily Matters,424 Multifamily Leadership Teams that Win,NEEDS UPLOAD,,63
Sunday July 5,3:20 PM,ChangeMakers with Katie Goar,"8 Part:one Jason Géno, Founder and Managing Principal of Human Capital Initiatives",NEEDS UPLOAD,,54
Sunday July 5,3:40 PM,The Lease-Up - MHN Mission Success,Architecture With a Problem-Solving Attitude,NEEDS UPLOAD,,53
Sunday July 5,4:10 PM,The apartment department,Season 1 Episode 2 The Role of Internet Listing Services (ILS) in the Marketing Mix,MATCHED,2370803,81
Sunday July 5,4:35 PM,The NAA Apartmentcast,Season 2 Episode 3 The NAA Apartmentcast - A Conversation with NAAEI President Kim Hurd,MATCHED,7889016,100
Sunday July 5,5:10 PM,Multifamily Matters,129 8 Post-COVID Multifamily Property Management Predictions,MATCHED,2350630,94
Sunday July 5,6:05 PM,ChangeMakers with Katie Goar,"29 Part:two Deborah De Santis, President and CEO, Corporation for Supportive Housing",MATCHED,2444457,77
Sunday July 5,6:25 PM,The Lease-Up - MHN Mission Success,Keeping the Finger on the Multifamily Pulse,MATCHED,2444164,100
Sunday July 5,6:55 PM,The apartment department,Season 1 Episode 15 Spotlight on Property Websites: Building for the Future,NEEDS UPLOAD,,69
Sunday July 5,7:55 PM,Multifamily - From The Ground Up,Episode - 005 The Affordable Housing Crisis: Beyond Politics and Toward Solutions,NEEDS UPLOAD,,61
Sunday July 5,8:35 PM,The NAA Apartmentcast,Season 1 Episode 12 The NAA Apartmentcast - Apartment Career Journeys - Kayla Quint,MATCHED,7889013,100
Sunday July 5,9:20 PM,Multifamily Matters,307 Financial Foresight: Mastering Budgets in the Multifamily Market,MATCHED,2350639,95
Sunday July 5,10:15 PM,ChangeMakers with Katie Goar,"114 Part:two Sarah Kahn, President & CEO, Housing Forward",NEEDS UPLOAD,,67
Sunday July 5,10:35 PM,The Lease-Up - MHN Mission Success,"Mission Success: Why NYC Needs More Diverse, Inclusive Housing",MATCHED,2444194,100
Sunday July 5,11:05 PM,The apartment department,"Season 2 Episode 10 AI, Customization, and Humans: The Formula for Leasing Success",MATCHED,2379758,74
Sunday July 5,11:50 PM,The NAA Apartmentcast,Season 3 Episode 14 The NAA Apartmentcast - A Q4 Conversation with NAAEI President Kelli Lea,MATCHED,7889233,100
